Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2017,Saratoga,NY,Passenger,1,1,2,72,74,2.70
February 28 2017,Clallam,WA,Passenger,75,64,139,47978,48117,0.29
August 31 2020,Kittitas,WA,Passenger,110,47,157,29763,29920,0.52
July 31 2023,Asotin,WA,Passenger,37,23,60,12371,12431,0.48
June 30 2019,Riverside,CA,Passenger,2,2,4,664,668,0.60
September 30 2017,DeKalb,GA,Passenger,1,0,1,86,87,1.15
August 31 2022,Columbia,OR,Passenger,1,0,1,18,19,5.26
October 31 2021,Larimer,CO,Passenger,1,0,1,48,49,2.04
July 31 2019,Pacific,WA,Passenger,24,30,54,16024,16078,0.34
May 31 2017,Nueces,TX,Passenger,0,1,1,98,99,1.01
October 31 2022,Kootenai,ID,Passenger,0,1,1,152,153,0.65
April 30 2022,Kern,CA,Passenger,0,1,1,198,199,0.50
January 31 2020,Santa Rosa,FL,Passenger,1,0,1,92,93,1.08
January 31 2024,Lee,AL,Passenger,1,0,1,12,13,7.69
November 30 2021,Bartow,GA,Passenger,0,1,1,5,6,16.67
January 31 2019,Grays Harbor,WA,Truck,0,0,0,20316,20316,0.00
December 31 2019,Lewis,WA,Truck,0,0,0,26087,26087,0.00
December 31 2023,Ferry,WA,Truck,0,0,0,3517,3517,0.00
August 31 2017,Utah,UT,Passenger,0,1,1,155,156,0.64
July 31 2018,Washtenaw,MI,Passenger,1,0,1,38,39,2.56
April 30 2023,Whitman,WA,Passenger,138,72,210,21953,22163,0.95
February 28 2017,Canyon,ID,Passenger,0,1,1,110,111,0.90
November 30 2017,Garfield,WA,Truck,0,0,0,935,935,0.00
January 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
May 31 2017,Okanogan,WA,Truck,0,0,0,16212,16212,0.00
February 28 2022,Escambia,FL,Passenger,0,1,1,150,151,0.66
January 31 2024,San Joaquin,CA,Passenger,1,0,1,63,64,1.56
April 30 2017,Hamilton,TN,Passenger,1,0,1,26,27,3.70
January 31 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
July 31 2022,Carroll,NH,Passenger,0,1,1,5,6,16.67
December 31 2021,Snohomish,WA,Truck,2,0,2,125388,125390,0.00
February 28 2021,Spokane,WA,Truck,0,0,0,100967,100967,0.00
December 31 2017,Benton,WA,Truck,0,0,0,40577,40577,0.00
